id,eui,name,connected_at,disconnected_at,is_connected,last_connected,downtime_duration,last_uplink_received_at,last_downlink_received_at,last_status_received_at
eui-000080029c07aeb3,000080029C07AE8E,IDU00304-Winford Hotel Rooftop-PWX,,,False,,0.0,,,
eui-000080029c07aeb4,000080029C07AE91,IDU00301-3 Gen. Segundo San Juan,2022-09-17 09:58:03,,True,2022-09-29 17:48:07,0.0,2022-09-28 20:56:55,2022-09-18 19:02:20,2022-09-29 17:48:07
eui-000080029c07aeb5,000080029C07AE97,IDU00305-Office-PWX,,,False,,0.0,,,
eui-000080029c07aeb7,000080029C07AE9B,IDU00370-Vistamall SOMO POC-NCS-PWX,2022-09-29 08:54:47,,True,2022-09-29 17:48:17,0.0,2022-09-29 17:46:23,,2022-09-29 17:48:17
eui-000080029c07aeba,000080029C07AE9F,IDU00437-LG Petroprime-PWX,,,False,,0.0,,,
eui-000080029c07aebb,000080029C07AEAF,IDU00167-BPI Monumento-PWX,2022-09-26 10:15:33,,True,2022-09-29 17:48:01,0.0,2022-09-29 17:47:48,2022-09-29 17:44:58,2022-09-29 17:48:01
eui-000080029c07aec0,000080029C07AEB3,IDU00439-Insular Life Bldg Corporate Center 2-PWX,2022-09-22 08:44:10,,True,2022-09-29 17:48:25,0.0,2022-09-29 17:47:11,2022-09-29 17:47:12,2022-09-29 17:48:25
eui-000080029c07aec3,000080029C07AEB4,IDU00353-Fast Cargo Cebu LAN-PWX 2F ,2022-09-13 11:12:28,,True,2022-09-29 17:48:25,0.0,2022-09-29 17:48:25,2022-09-29 17:46:27,2022-09-29 17:48:08
eui-000080029c07aec4,000080029C07AEB5,IDU00438-SH ARANETA AVE TANGUB BCD SB COSS-PWX,2022-09-29 08:03:45,,True,2022-09-29 17:48:12,0.0,2022-09-29 17:48:12,2022-09-29 17:47:21,2022-09-29 17:47:53
eui-000080029c07aec6,000080029C07AEB7,IDU00436-LG Petroprime 3/26/2022-PWX,2022-09-13 11:12:28,,True,2022-09-29 17:48:24,0.0,2022-09-29 17:47:04,2022-09-29 16:27:07,2022-09-29 17:48:24
eui-000080029c07aec9,000080029C07AEBA,IDU00392-SH CAYETANO BLVD TAGUIG COSS-PWX,2022-09-28 11:04:16,,True,2022-09-29 17:48:24,0.0,2022-09-29 17:48:24,2022-09-29 17:40:00,2022-09-29 17:48:08
